Contract reference,Name,Province,Area,Primary Number,Collection name,House Hold Size,Registration Date
C355450016,O***,Lusaka,Twin Palm,XXXX7855,S***,2,6/20/2025
C355460015,R***,Lusaka,Kabulonga,XXXX4627,S***,0,8/25/2025
C355480013,P***,Lusaka,Kabulonga,XXXX7914,S***,3,6/12/2025
C355590019,J***,Lusaka,Kabulonga,XXXX9215,S***,4,6/12/2025
C355600016,C***,Lusaka,Kabulonga,XXXX0096,S***,2,6/12/2025
C355620014,S***,Lusaka,Kabulonga,XXXX5730,S***,8,6/7/2025
C355850017,L***,Lusaka,Garden House,XXXX6104,E***,4,6/30/2025
C355860016,A***,Lusaka,Kasupe,XXXX6556,A***,7,6/6/2025
C355870015,D***,Lusaka,Kanyama,XXXX2712,D***,10,6/12/2025
C355890013,B***,Lusaka,Kasupe,XXXX0614,J***,4,6/6/2025
C355900010,B***,Lusaka,Kasupe,XXXX9732,J***,6,6/6/2025
C355930017,M***,Lusaka,Barlastone,XXXX3409,J***,5,6/6/2025
C355950015,P***,Lusaka,Kasupe,XXXX1373,J***,5,6/6/2025
C356250019,G***,Lusaka,SOS,XXXX0766,J***,6,6/9/2025
C356320010,R***,Lusaka,Chazanga,XXXX3638,J***,5,6/9/2025
C356340018,L***,Lusaka,Chazanga,XXXX9070,J***,8,6/10/2025
C356380014,M***,Lusaka,Chazanga,XXXX9719,J***,8,9/5/2025
C356420018,L***,Lusaka,Chazanga,XXXX3557,J***,7,9/5/2025
C356430017,S***,Lusaka,SOS,XXXX5045,J***,5,6/9/2025
C356460014,G***,Lusaka,SOS,XXXX0766,C***,4,7/18/2025
C356470013,A***,Lusaka,SOS,XXXX9614,E***,9,6/9/2025
C356480012,E***,Lusaka,Chazanga,XXXX7419,E***,8,7/2/2025
C356490011,E***,Lusaka,SOS,XXXX3313,M***,5,6/9/2025
C356770016,M***,Lusaka,6 Miles,XXXX2733,E***,4,6/10/2025
C356790014,I***,Lusaka,6 Miles,XXXX5005,E***,5,6/13/2025
C356820019,F***,Lusaka,6 Miles,XXXX1940,L***,5,6/10/2025
C356840017,R***,Lusaka,6 Miles,XXXX6667,L***,5,6/10/2025
C356850016,J***,Lusaka,6 Miles,XXXX6851,L***,3,6/10/2025
C356870014,S***,Lusaka,6 Miles,XXXX1964,L***,4,6/10/2025
C356890012,M***,Lusaka,6 Miles,XXXX8701,E***,7,6/10/2025
C356900019,B***,Lusaka,6 Miles,XXXX5788,L***,4,6/10/2025
C356910018,E***,Lusaka,6 Miles,XXXX6016,L***,10,6/10/2025
C356930016,F***,Lusaka,6 Miles,XXXX7230,L***,5,6/10/2025
C356940015,C***,Lusaka,6 Miles,XXXX3005,L***,8,6/10/2025
C356970012,J***,Lusaka,6 Miles,XXXX4910,L***,8,8/22/2025
C356980011,J***,Lusaka,6 Miles,XXXX3051,L***,6,6/10/2025
C356990010,B***,Lusaka,6 Miles,XXXX5453,L***,2,6/10/2025
